name,barcode,Sales Price,Quantity On Hand,Activity Exception Decoration
Aama Haldi 100gm,8901572000028,40.00,6.00,
Air Tight Glass Jar 1000ml,8901572000035,250.00,4.00,
Air Tight Glass Jar 2000ml,8901572000042,350.00,2.00,
Ajwain 100gms,8901572000066,30.00,0.00,
Ajwain 250 gms,8901572000073,80.00,8.00,
Akarkara 25gm,8901572000080,50.00,2.00,
Akarkara 50gm,8901572000097,100.00,2.00,
Akhrot Jumbo 500gm,8901572000103,450.00,3.00,
Akhrot Selected Premium 250gm,8901572000110,200.00,3.00,
Akhrot Selected Premium 500gm,8901572000127,400.00,5.00,
Alsi/Flax Seeds  500GM,8901572000134,70.00,4.00,
Amla(Gooseberry) 200gm,8901572000141,50.00,2.00,
Anar Dana 100gm,8901572000158,30.00,0.00,
Anjeer Jumbo 250gm,8901572000165,300.00,6.00,
Anjeer Jumbo 500gm,8901572000172,600.00,2.00,
Anjeer selected 250gm,8901572000189,250.00,0.00,
Arjun Ki Chaal 250gm,8901572000196,30.00,0.00,
Aswagandha 100gm,8901572000202,70.00,1.00,
Atibala Seeds 100gm,8901572000219,40.00,3.00,
Babool Gond 150gm,8901572000882,50.00,0.00,
Babool Gond 250gm,8901572000899,90.00,5.00,
Babool Gond lal (100gm),8901572000912,40.00,3.00,
Babool Gond lal (250gm),8901572000929,80.00,6.00,
Badam 100Rs,8901572000233,100.00,10.00,
Badam Jumbo 1kg,8901572000240,880.00,0.00,
Badam Jumbo 250gm,8901572000257,230.00,0.00,
Badam Jumbo 500gm,8901572000264,450.00,0.00,
Badi Elaichi Douda 100Gm,8901572000295,240.00,0.00,
Badi Elaichi Douda 25Gm ,8901572000301,60.00,8.00,
Badi Elaichi Douda 50Gm,8901572000318,120.00,2.00,
Badi Harr (100gm),8901572000325,30.00,1.00,
Baheda 200gm,8901572000332,20.00,2.00,
Baibadang (Vidanga Seeds) 50gm,8901572000349,50.00,6.00,
Bareek Rai 250gm,8901572000356,35.00,5.00,
Black Gond(Siyah) 25gm ,8901572000363,150.00,0.00,
Black Til 100gm,8901572000370,40.00,3.00,
Black Til 250gm,8901572000387,100.00,7.00,
Black Til 500gm,8901572000394,190.00,8.00,
Brahmi 100gm,8901572000400,80.00,0.00,
Brown Sugar 1kg,8901572000417,80.00,0.00,
Chabila 25GM,8901572000424,30.00,3.00,
Chakka (Starful) 50gm,8901572000431,40.00,8.00,
Cheerongi 100gms,8901572000448,220.00,5.00,
Cheerongi 250gms,8901572000455,500.00,3.00,
Cheerongi 25gms,8901572000462,60.00,6.00,
Cheerongi 50gms,8901572000479,110.00,4.00,
Chilgoza 100gm,8901572000486,450.00,8.00,
Chuwara 100gm,8901572000493,30.00,0.00,
Chuwara 250gm,8901572000509,60.00,0.00,
Chuwara Selected Blue 500gm,8901572000516,140.00,1.00,
DGN Blue Dry Dates (Chuwara) ,8901572000530,120.00,0.00,
DGN Yellow Dry Dates (Chuwara) ,8901572000547,220.00,0.00,
Dalchini Normal 100gm,8901572000554,40.00,6.00,
Dalchini Round 100gm,8901572000561,60.00,8.00,
Delivery Fee 20Rs,8901572000578,20.00,-2.00,
DhageWali Misri 1Kg,8901572000585,90.00,0.00,
DhageWali Misri 500gm,8901572000592,50.00,4.00,
Elaichi 100gm,8901572000608,400.00,0.00,
Elaichi 10gm,8901572000615,40.00,7.00,
